name,score,coordinates
云谷寺,33.26292147436571,"118.179564,30.118261"
大唐不夜城,33.02266515005173,"108.964305,34.216038"
孟庙,32.926866347388696,"116.97344207764,35.388931274414"
甜爱路,32.462906682580545,"121.4836,31.269577"
玫瑰堂,32.175180647880076,"113.545134,22.190543"
思南路,32.17364519233631,"121.46889679762,31.20880280469"
芭东海滩,32.10241483284093,"98.296854,7.89351"
比粒寺,32.0010481530961,"103.92028,13.446574"
春熙路,31.99079318775205,"104.07956662654,30.653519330035"
曲江池遗址公园,31.37760015921895,"108.974331,34.212762"
碑林博物馆,31.283141503682657,"108.94703711824,34.259467227575"
秦王宫,31.27307813154684,"120.31752578683,29.134379158078"
橘子洲,31.190986603781056,"112.971686,28.175626"
天坛,31.18104830235199,"116.412942,39.883362"
文庙,30.671477295210494,"112.189154,37.202425"
维多利亚港,30.616469259153032,"114.173909,22.293029"
善卷洞,30.442253563064426,"119.67351531982,31.29744720459"
狮子峰,30.397338615192904,"118.18301391601,30.164470977256"
古文化街,30.379710399917855,"117.19817943871,39.134731103819"
月亮湾,29.71668572095373,"117.887889,29.300809"
遇龙河,29.55072745383569,"110.436583,24.775931"
迎泽公园,29.52803229645553,"112.562808,37.851381"
三塔,29.468883256785368,"100.150502,25.702018"
法门寺,28.91868199185161,"107.90438842773,34.441829681396"
长海,28.71475495347153,"103.933005881,33.045116255642"
昙华林,28.63119772812757,"114.306159,30.543307"
浅草寺,28.58717755832298,"139.7987634,35.717031"
思溪延村,28.31480224177284,"117.80794666138,29.341067165461"
公主楼,28.24981199172592,"120.35292109666,36.052205336991"
屯溪老街,27.953764835058266,"118.321952,29.722576"
鲍家花园,27.926900985296573,"118.370737,29.862928"
国清寺,27.86466257622784,"121.0471,29.165325"
津湾广场,27.838018211914967,"117.202228,39.124821"
楚河汉街,27.794708828229197,"114.34140086175,30.553835204612"
鼓楼,27.712322468271022,"121.539621,29.871434"
沧浪亭,27.711567946303738,"120.633654,31.298021"
天塔,27.498783853172565,"117.167816,39.088957"
丙安古镇,27.462679083278395,"105.828374,28.466088"
天星桥景区,27.428168377037053,"105.677315,25.946314"
虎啸岩,26.98793525406786,"117.95060168207,27.64306199754"
雅克夏雪山,26.853581687937126,"102.2477734375,31.854125217541"
塔尔寺,26.82417102358876,"101.56672933268,36.486674682236"
江汉路,26.812537286949787,"114.293021,30.583913"
大明湖,26.593563595219983,"117.023905,36.671693"
夫子庙,26.551415283826774,"118.789487,32.0201"
中华艺术宫,26.528950453880352,"121.49594296561,31.188438792829"
龙游石窟,26.24821057460629,"119.189848,29.060054"
清迈大学,26.16506868347506,"98.956322,18.8082"
晴川阁,26.12268395382626,"114.28841728518,30.549628169447"
高家大院,26.076038772668706,"108.943816,34.260508"
南天门,25.96652352421325,"117.10600280762,36.253601074219"
皓月园,25.6165987719291,"118.073166,24.440573"
铁塔公园,25.331419059516328,"114.369019,34.810915"
思南公馆,25.323982117663466,"121.467014,31.21658"
物茂土林,25.236727813352985,"101.76180267334,25.843507766724"
天星码头,25.216918759598123,"114.173909,22.293029"
渔人码头,25.054211393247837,"121.678059,38.877127"
解州关帝庙,24.552882230863627,"110.84790722287,34.909401168774"
湖北省博物馆,24.546792168399605,"114.365518,30.563979"
洛阳白马寺,24.5,"112.607966,34.720521"
城山日出峰,24.34806672982854,"126.935875,33.461414"
圣剑寺,24.24303687690726,"103.877594,13.445468"
大雁塔,24.043835910684233,"108.964161,34.218308"
西溪湿地国家公园,23.99999999943318,"120.06052398682,30.255041122437"
华蓥山,23.724448713623648,"106.807287,30.307727"
南怡岛,23.699483447573897,"127.52617596984,37.794496290262"
南怡岛,23.699483447573897,"127.52617596984,37.794496290262"
鼓楼,23.65674093944272,"108.943816,34.260508"
山君不离,23.6422549434123,"126.6665803,33.4276176"
卓悦,23.563439406226603,"114.17165505886,22.304789813129"
太平街,23.534071370033285,"112.973759,28.19055"
南京大学,23.489189776638945,"118.784132,32.041806"
云栖竹径,23.458901511016695,"120.09042549133,30.203545277252"
青瓦台,23.368619495571902,"126.97886,37.581367"
豫园,23.342663986338106,"121.492508,31.225715"
第一海水浴场,23.31733470580109,"120.331549,36.066448"
华侨城,23.10778276205588,"114.288231,22.621141"
日升昌票号,22.817031056772393,"112.183453,37.204201"
宽窄巷子,22.80638824337629,"104.05429772884,30.663149914947"
南禅寺,22.749801446358475,"120.308676,31.563696"
花港观鱼,22.679895617895827,"120.142178,30.225508"
红寺湖,22.655388309289165,"106.88288,32.88702"
都江堰景区,22.499999999943142,"103.615972,30.996286"
天津大学,22.467829781632467,"117.167299,39.103681"
麦积山,22.45478395579781,"106.007692,34.355452"
星海广场,22.3876188514042,"121.589795,38.877884"
鸣沙山,22.320783416896333,"94.675937697291,40.094578244433"
老街,22.280550347347642,"118.30612685845,29.708348203877"
五龙河,22.276627179470523,"110.796153,32.641321"
灵山大佛,22.221536137686513,"120.09885454178,31.428005695588"
天都峰,22.192279822513115,"118.1749250086,30.122241241017"
书院门,22.167450625209003,"108.952981,34.253821"
三门里,22.15121918971489,"112.60980987549,22.348583221436"
马岭河大峡谷,22.091839736575388,"104.95251113313,25.130651120654"
宋城,22.06081634624986,"120.097729,30.171423"
武康路,21.98122098345862,"121.441532,31.198085"
泰安岱庙,21.931773413647317,"117.130527,36.200506"
静园,21.824966764504317,"117.19401,39.118081"
SASA,21.815994014735512,"114.18411190675,22.280196726992"
军舰岛,21.793215790200048,"145.71722,15.216305"
东关街,21.658082639368377,"119.443757,32.398991"
日观峰,21.60986488813509,"117.114816,36.239058"
星海公园,21.47979997322375,"121.57070537238,38.878385717348"
浴鹄湾,21.391821090853085,"120.142178,30.225508"
迎客松,21.34608363326749,"118.170777,30.124642"
天门山国家森林公园,20.916300161644976,"110.483367,29.11146"
苏堤春晓,20.89186051462808,"120.135497,30.251176"
巴肯山,20.852253300478164,"103.867,13.4125"
长坪沟,20.800439804836834,"102.845638,30.998826"
永福禅寺,20.670955677344715,"120.100549,30.236875"
塔佩门,20.472784987482765,"98.990523,18.78799"
月观峰,20.243875770393128,"117.10299682617,36.25719833374"
走婚桥,20.199108515490924,"100.7948100853,27.686267652537"
大爷海,20.190784295169504,"107.8960485556,34.1219146371"
宝石山,20.069879065991536,"120.151195,30.258096"
东京塔,20.044809923040585,"139.7311,35.662525"
铜锣湾,19.96660422815723,"114.18411190675,22.280196726992"
泰迪熊博物馆,19.866665718229974,"103.826176,30.645899"
司马台长城,19.815955254642784,"117.2777105161,40.6552070469"
中山路,19.66752158532313,"118.068486,24.446922"
柳浪闻莺,19.58381092870287,"120.149019,30.245735"
1933老场坊,19.479506979775234,"121.490195,31.243416"
情侣路,19.440363223928983,"113.58838,22.26148"
磁器口古镇,19.201596216341894,"106.451948,29.581845"
始信峰,19.186229653461837,"118.169184,30.132246"
藏龙百瀑,19.07959112099221,"119.607809,30.442606"
杨公堤,19.06560232666229,"120.13268525645,30.246961073541"
武夷宫,18.842642928191246,"117.973128,27.64289"
塔林,18.68038437778071,"112.94181,34.506044"
东湖樱花园,18.671423081433147,"114.413148,30.548737"
吴哥寺,18.61031396270988,"103.86699,13.412469"
屏岩洞府,18.55009926974423,"120.29781527817,29.177441418274"
大智禅寺,18.429257578398413,"120.31697982234,29.151841073978"
清明上河图,18.425069002695654,"120.316273,29.139496"
信号山公园,18.35965633595629,"120.327975,36.065135"
双龙寺,18.19456394969182,"98.891987,18.817891"
法门寺,18.177311822331184,"107.90438842773,34.441829681396"
豆蔻寺,18.167670694867283,"103.89851,13.429964"
文殊院,18.01492447886632,"104.065744,30.657452"
千岛油菜花景区,17.999999996203073,"119.81692501472,33.032420182048"
猫的天空之城,17.999992323021523,"117.18111160278,39.137120373809"
太原晋商博物馆,17.96643349595476,"112.561249,37.853776"
胡雪岩故居,17.89888535508914,"120.1754898982,30.239656697703"
南京地质博物馆,17.870497722404362,"118.799069,32.042493"
太平山顶,17.717768059881987,"114.154771,22.268594"
南京路步行街,17.637292871899604,"121.473406,31.234889394947"
金顶,17.635106990976652,"111.01426696777,32.404521942139"
瑶里古镇,17.57186363703528,"117.5728225708,29.529579162598"
厦大白城沙滩,17.49999999958663,"118.105289,24.4313"
延吉公园,17.437112833040086,"129.510978,42.901242"
龙井,17.30966812179036,"120.10238906086,30.219227346328"
避暑山庄,17.250676211958545,"117.94060955956,40.98348522768"
犀牛海,17.234207752893088,"103.894323,33.192826"
古琴台,17.205284810369335,"114.268136,30.555997"
河坊街,17.122448536610882,"120.17286,30.237282"
南湖,17.115898397393934,"117.989265,30.001024"
沙巴大学,17.080632006944985,"116.109914,6.017489"
浣花溪公园,17.03204743476872,"104.028568,30.660046"
光谷步行街,16.961871233984226,"114.38287854195,30.505160366902"
较场尾,16.852749786841418,"114.5064378049,22.5874279264"
西山寺,16.784112404526816,"113.37482921779,22.520201348789"
恒山,16.748275764510296,"113.712008,39.676541"
醉白池,16.722581572086554,"121.22719573975,31.005809783936"
龙首崖,16.66188493030375,"115.952851,29.559047"
黄山风景区,16.590446439973842,"118.17160919102,30.122082403375"
大悦城,16.58832785479484,"117.18111160278,39.137120373809"
元谋土林,16.572680260083338,"101.76100158691,25.843399047852"
西递,16.554489089228124,"117.99674649177,29.902821474341"
梵宫,16.550358746213384,"120.10550097224,31.421525844495"
济南千佛山风景名胜区,16.499997547263927,"117.03644256834,36.640270303761"
MBK,16.48658802364852,"100.534431,13.745493"
民政总署大楼,16.45036967489876,"113.545134,22.190543"
呈坎,16.4098405422127,"118.28199768066,29.927600860596"
泸沽湖,16.38197185172727,"100.808733,27.652986"
梵音谷,16.366343807316166,"112.730495,27.252513"
朝天门,16.210487063633337,"106.57863147713,29.565577882629"
鲁迅公园,16.098386660797672,"120.323718,36.053062"
陆家嘴,16.05323781359261,"121.49975524843,31.239688847721"
棠樾牌坊群,16.053216039034147,"118.37008322656,29.866841116357"
苏州大学,16.01662904548957,"120.63480633496,31.309675447919"
江湾村,15.997328552899267,"118.05297732353,29.369279218161"
明月湾古村,15.93102585126169,"120.294254,31.063685"
平沙岛,15.889856216458433,"112.892831,22.902509"
鱼尾狮公园,15.65305432419348,"103.852,1.292236"
象山公园,15.628553670991831,"110.294257,25.271272"
河南大学,15.521306809554064,"114.370773,34.815901"
鸟巢,15.500584996449073,"116.39651683069,39.993002486408"
飞来峰,15.402782027653638,"120.101193,30.238148"
十里琅珰,15.3985785814162,"120.10238906086,30.219227346328"
楠溪江,15.175023972110873,"120.736575,28.250675"
括苍山,15.158620676106805,"120.98206391534,28.838095"
苍山,15.127637816090148,"100.149052,25.679976"
南山文化旅游区,15.09697840023768,"109.203388,18.299105"
双月湾,15.078204689091008,"114.904951,22.564013"
西栅,15.011441674574618,"120.485157,30.748526"
东荟城,15.00940160529291,"113.9412677791,22.289160871582"
庆源村,14.997328542417446,"118.004562,29.461948"
洛阳老街,14.995873059565534,"112.48314118385,34.682651049017"
江苏路基督教堂,14.984361946872628,"120.331549,36.066448"
瞻园,14.894957919980529,"118.788812,32.020726"
西安美术馆,14.765149791489216,"108.964305,34.216038"
珍珠滩瀑布,14.66230258022692,"103.883239,33.160325"
拔仙台,14.655412311039063,"107.761953,33.957226"
国王湖,14.613889456224143,"12.972205915344,47.544696157971"
国王湖,14.613889456224143,"12.972205915344,47.544696157971"
钱塘江大桥,14.577771862218714,"120.131483,30.19609"
佛牙寺,14.51124620816571,"80.642143352761,7.2932866651271"
灵隐禅踪(灵隐寺),14.5,"120.100549,30.236875"
龟山公园,14.48765057188085,"99.706476447,27.8112065779"
百步云梯,14.468880497482266,"118.169184,30.132246"
陡坡塘瀑布,14.467015651114707,"105.67422242803,25.992826400309"
先锋书店,14.43501830385332,"118.77623341519,32.042296659794"
西归浦,14.373109014135293,"126.560076,33.2541205"
南岩宫,14.362753275527426,"111.01792144775,32.416320800781"
西江千户苗寨,14.311753938064019,"108.17403,26.49298"
黎阳老街,14.214098964573715,"118.299728,29.707652"
禁断岛,14.197838349920294,"145.78580339951,15.175069242959"
兴化千垛油菜花,14.088688542040773,"119.81692501472,33.032420182048"
月牙泉,14.080282189458696,"94.675569647239,40.088185"
乾陵,14.075930651752145,"108.238493,34.559022"
拈花湾,14.0213423694979,"120.098371,31.426957"
议事厅前地,13.98034541096549,"113.545528,22.191876"
城隍庙,13.946477308798844,"112.190462,37.200304"
民俗博物馆,13.925877957248142,"112.48314118385,34.682651049017"
水立方,13.84089452986347,"116.395927,39.993424"
天目湖,13.77663802873178,"119.42109771073,31.31936491819"
金英,13.757629976092698,"114.17218735582,22.297602983054"
天游峰景区,13.717587734789165,"117.95060168207,27.64306199754"
王家大院,13.621109212278151,"111.87476348877,36.896076202393"
意大利风情街,13.50553192208055,"117.209593,39.131492"
